Año;Import;Texto;Texto2
1997;1;1;puesto en el Concurso de Mates
1997;2;31;Puntos en el Rookie All Star
1998;1;1;All Star de su carrera
1998;2;1;jugador más joven en jugar en el quinteto titular en el All Star
1999;1;3;Mejor quinteto de la NBA
1999;2;1;vez 3er mejor quinteto de la NBA
2000;1;1;vez Campeón de la NBA
2000;2;1;vez mejor quinteto defensivo de la NBA
2001;1;2;vez Campeón de la NBA
2001;2;1;jugador en conseguir 83,3% de acierto en un partido (+5 tiros).
2002;1;3;vez Campeón de la NBA
2002;2;1;vez mejor quinteto de la NBA
2003;1;2;vez mejor quinteto de la NBA
2003;2;40;puntos o más en 9 partidos seguidos
2004;1;3;vez mejor quinteto del a NBA
2004;2;6;vez All Star
2005;1;1;vez máximo anotador de la liga
2005;2;1;vez que un jugador anotara más puntos en 3 cuartos que el equipo contrario
2006;1;81;Puntos en un partido
2006;2;1;vez mejor anotador de la NBA
2007;1;2;vez MVP del All Star
2007;2;2;vez mejor anotador de la NBA
2008;1;1;Puesto en las Olimpiadas de Pekin
2008;2;MVP;de la temporada de la NBA
2009;1;4;vez Campeón de la NBA
2009;2;MVP;de las finales de la NBA
2010;1;5;vez Campeón de la NBA
2010;2;MVP;de las finales de la NBA
2011;1;13;All Star consecutivo
2011;2;7;jugador en anotar 25k puntos, 5k rebotes y 5k asistencias
2012;1;1;Puesto en las Olimpiadas de Londres
2012;2;6;vez con 4 partidos seguidos con +40 puntos
2013;1;14;All Star consecutivo
2013;2;11;vez mejor quinteto de la NBA
2014;1;1;jugador en la NBA en superar 30K puntos y 6k asistencias
2014;2;3;máximo anotador de la NBA
2015;1;29;de nov anuncia su retirada a final de temporada
2015;2;1;carta que se convertiría en corto ganador de un Óscar
2016;1;60;puntos en el último partido
2016;2;Retirada;de una estrella
Todos;1;5;veces campeón de la NBA
Todos;2;4;mayor anotador de la historia de la NBA
